# In this generated mirror the head column reads upstream:<hash>.
# The hash is the development repository's commit, which is where
# the measurement was taken; this tree shares no history with it,
# so the hash is traceable by hand and not by `git cat-file`.
utc	head	pytest_pass	pytest_fail	cocotb_pass	cocotb_fail	formal_pass	formal_other	notes
2026-09-08T20:33Z	upstream:866d38f	490	0	401	0	117	0	formal-logs-oldest=2026-08-31,tree-dirty=14,frozen-dirty=0
2026-09-08T21:02Z	upstream:6c37856	490	0	401	0	118	0	formal-logs-oldest=2026-08-31,tree-dirty=13,frozen-dirty=0
2026-09-08T21:13Z	upstream:5384ee5	490	0	401	0	118	0	formal-logs-oldest=2026-08-31,tree-dirty=0,frozen-dirty=0
2026-09-08T22:17Z	upstream:1ecf509	490	0	558	0	118	0	formal-logs-oldest=2026-08-31,tree-dirty=1,frozen-dirty=0
2026-09-08T22:19Z	upstream:1ecf509	490	0	624	0	118	0	formal-logs-oldest=2026-08-31,tree-dirty=1,frozen-dirty=0
2026-09-08T22:35Z	upstream:1ecf509	491	0	401	0	118	0	formal-logs-oldest=2026-08-31,tree-dirty=4,frozen-dirty=0,supersedes=two-invalid-rows-for-1ecf509-concurrent-run-overcount
2026-09-09T03:57Z	upstream:5186107	498	0	401	0	425	35	formal-logs-oldest=2026-08-31,formal-dirs=460,formal-fail=6,formal-error=3,formal-stopped=26,formal-stale=0,formal-unchecked=0,formal-src-comment-drift=118,tree-dirty=20,frozen-dirty=3
2026-09-10T23:56Z	upstream:ad99b8f	509	0	462	0	425	35	formal-logs-oldest=2026-09-04,formal-dirs=460,formal-fail=6,formal-error=3,formal-stopped=26,formal-stale=0,formal-unchecked=0,formal-src-comment-drift=0,cocotb-suites-not-clean=0,tree-dirty=0,frozen-dirty=0
2026-09-11T00:39Z	upstream:ad99b8f	509	0	462	0	425	35	formal-logs-oldest=2026-09-04,formal-dirs=460,formal-fail=6,formal-error=3,formal-stopped=26,formal-stale=0,formal-unchecked=0,formal-src-comment-drift=0,formal-undispositioned=0,cocotb-suites-not-clean=0,tree-dirty=5,frozen-dirty=0
2026-09-11T00:55Z	upstream:587fdd8	509	0	462	0	425	35	formal-logs-oldest=2026-09-04,formal-dirs=460,formal-fail=6,formal-error=3,formal-stopped=26,formal-stale=0,formal-unchecked=0,formal-src-comment-drift=0,formal-undispositioned=0,cocotb-suites-not-clean=0,tree-dirty=0,frozen-dirty=0
